ASIN,Overall_Rating,Review_Count,5Star,4Star,3Star,2Star,1Star
B0DRNLGXC9,,,0,0,0,0,0
B0DSFHJY7N,,,0,0,0,0,0
B0DPHRYPG6,3.8,71.0,36,35,20,6,3
B0D7Y6JV7G,,,100,0,0,0,0
B0DPXJMY2L,,,0,0,0,0,0
B0D7YCPGHF,,,0,0,0,0,0
B0DQSR7NCN,3.0,2.0,45,26,0,15,14
B0DWDLL8W4,,,0,0,0,0,0
B0DWFJHTGX,4.7,16.0,76,17,7,0,0
B0D2XJLSHV,,,0,0,0,0,0
B0DPKRW92M,,,0,0,0,0,0
B0DQW7RTHQ,,,0,0,0,0,0
B0DQSX2G35,4.8,9.0,85,15,0,0,0
B0DT9N75F8,3.0,1.0,0,0,100,0,0
B0DWD4SZZF,,,0,0,0,0,0
B0DVZSNZ1L,,,0,0,0,0,0
B0DK4P4N3Z,4.1,16.0,52,30,9,0,9
B0DTP5ZLR3,,,0,0,0,0,0
B0DVBSWRRJ,,,0,0,0,0,0
B0DTCQH557,,,0,0,0,0,0
B0DQST19W2,4.7,8.0,73,14,13,0,0
B0DQV6VXM9,,,0,0,0,0,0
B0DQV38QBP,4.8,21.0,85,15,0,0,0
B0DQ4NLN73,5.0,2.0,100,0,0,0,0
B0DS2BVQZY,,,100,0,0,0,0
B0DW77HFH6,2.0,2.0,51,0,0,0,49
B0DSHY87L8,3.3,5.0,49,0,0,0,51
B0DLFHX34M,5.0,3.0,74,26,0,0,0
B0DVVDFHSV,4.7,18.0,77,23,0,0,0
B0DVMM91FF,5.0,1.0,48,52,0,0,0
B0DLX2FMGZ,4.0,1.0,0,100,0,0,0
B0DT6M7L48,,,0,0,0,0,0
B0DLXSS1YQ,,,0,0,0,0,0
B0DQPLQ984,4.2,4.0,42,41,17,0,0
B0DPQ43HV2,,,0,0,0,0,0
B0DS1X66QP,,,0,0,0,0,0
B0DQKGWWB2,5.0,4.0,100,0,0,0,0
B0DRPH116B,,,0,0,0,0,0
B0DSLVCGWF,,,0,0,0,0,0
B0DS28M2YC,,,0,0,0,0,0
B0DLPMGCJW,,,0,0,0,0,0
B0DVZ76FTF,4.5,2.0,50,50,0,0,0
B0DNZH6SY2,4.8,73.0,80,20,0,0,0
B0DVN47KGS,4.5,32.0,77,11,5,4,3
B0DS2SYTNP,,,0,0,0,0,0
B0DVV9D11C,,,0,0,0,0,0
B0DTPYYT8B,,,0,0,0,0,0
B0DS21R2GF,1.0,1.0,0,0,0,0,100
B0DSJNCRF7,,,0,0,0,0,0
B0DBVGSZY6,,,0,0,0,0,0
B0DBVFK5X2,,,0,0,0,0,0
B0DVLG9XHC,,,0,0,0,0,0
B0DPG2CV8W,,,0,0,0,0,0
B0DRNC6K7H,,,51,0,0,0,49
B0DSQZC776,4.7,45.0,72,28,0,0,0
B0DTJC6HKF,4.5,9.0,71,21,8,0,0
B0CPB1B4MC,,,0,0,0,0,0
B0DRVSJZV3,1.0,2.0,0,0,31,0,69
B0DQ8FWHMT,,,0,0,0,0,0
B0DNQDWQ7V,,,0,0,0,0,0
B0DR6562KP,,,0,0,0,0,0
B0DS5XT8K8,2.9,4.0,14,24,15,14,33
B0DS229FTN,4.0,2.0,49,0,51,0,0
B0DNJX5Z62,4.6,63.0,77,14,6,3,0
B0DQ7TGXP3,3.0,17.0,31,11,18,9,31
B0C42DLRNB,3.7,10.0,23,40,24,13,0
B0C42FL51V,5.0,3.0,100,0,0,0,0
B0DHSBGCPW,,,0,0,0,0,0
B0DQ7F7DT7,,,0,0,0,0,0
